순위,제목,출시날짜,장르1,장르2
576,Sacrifice of The Spirit,2021,슈팅,
577,Rustler,2021,RPG,
578,命运之手,2015,RPG,기타
579,生活模拟器,2020,전략,시뮬레이션
580,谎言游戏,2018,RPG,기타
581,Superliminal,2020,퍼즐,观察
582,Mech Mechanic Simulator,,전략,시뮬레이션
583,Eldest Souls,2021,RPG,
584,Aztec Empire,,전략,시뮬레이션
585,Onmyoudou - Arcade Edition,2020,인디,
586,反英雄,2017,전략,
587,The Gardens Between,2018,액션,어드벤쳐
588,NBA 2K21,2020,스포츠,篮球
589,Hell Wedding,2020,인디,
590,太空工程师,,인디,
591,ESports Club,2017,전략,시뮬레이션
592,松饼骑士,2014,인디,
593,Botanicula,2012,RPG,기타
594,Bao of Legend,,RPG,
595,人狼村之谜,2017,RPG,기타
596,Lust from Beyond,,액션,기타
597,东方月神夜,2019,인디,
598,Hermitage Strange Case Files,2018,퍼즐,기타
599,A Monster's Expedition,2020,RPG,
600,西游记之大圣归来,2019,RPG,
601,重塑火星,2021,전략,시뮬레이션
602,Leo’s Fortune,2015,인디,
603,超时空方舟,2019,인디,
604,Sun Haven,2021,인디,
605,Industries of Titan,2021,전략,시뮬레이션
606,New Danganronpa V3,2017,퍼즐,
607,伊格利亚战记,2020,RPG,
608,任天堂明星大乱斗特别版,,액션,격투
609,疯狂游戏大亨2,2021,전략,시뮬레이션
610,999,2018,인디,
611,Rememory,2019,퍼즐,기타
612,黑道圣徒2,2009,액션,기타
613,超越光速,2012,인디,
614,Steam Prison,2019,퍼즐,解谜
615,奥伯拉丁的回归,2018,기타,
616,Super Mario Party,,액션,기타
617,弗兰的悲惨之旅,2015,퍼즐,解谜
618,地狱潜者,,슈팅,기타
619,GRIME,,인디,
620,Five Nights at Freddy's 4,2015,인디,
621,Godhood,2020,전략,시뮬레이션
622,Toilet Simulator 2020,2019,전략,시뮬레이션
623,Overseas,2019,인디,
624,熔鉄少女,,슈팅,기타
625,On-looker,2020,RPG,기타
626,Gladio and Glory,2021,액션,기타
627,Exception,,전략,
628,Dreamscaper: Prologue,2020,액션,격투
629,Chernobylite,2019,액션,기타
630,Spiritfarer,,인디,
631,黑暗之心,,RPG,
632,星空列车与白的旅行,2021,퍼즐,기타
